student_id,cohort_year,species,clan,gender,forename,surname,full_name,age,education,socio_economic_rank,disabilities,first_gen
27,1046-47,Dwarf,alabaster,neuter,Lior,Emberlin,Lior Emberlin,18,vocational,2,no_known_disabilities,True
28,1046-47,Elf,yew,male,Ilrian,Loreshadow,Ilrian Loreshadow,18,vocational,5,no_known_disabilities,False
29,1046-47,Dwarf,malachite,female,Anra,Stonejoint,Anra Stonejoint,18,vocational,6,no_known_disabilities,False
30,1046-47,Dwarf,malachite,female,Tilda,Rockmantle,Tilda Rockmantle,18,academic,5,no_known_disabilities,False
31,1046-47,Dwarf,malachite,female,Navra,Ironcoil,Navra Ironcoil,18,no_qualifications,2,mental_health_disability,True
32,1046-47,Dwarf,bismuth,female,Vilya,Brightloop,Vilya Brightloop,18,academic,6,no_known_disabilities,False
33,1046-47,Dwarf,slate,male,Ernin,Etchbrace,Ernin Etchbrace,18,vocational,4,no_known_disabilities,True
34,1046-47,Elf,yew,male,Aerthorn,Vowroot,Aerthorn Vowroot,18,vocational,6,"deaf_or_hearing_impaired,communication_difficulties",True
35,1046-47,Dwarf,malachite,female,Urda,Weldspark,Urda Weldspark,18,academic,7,"physical_disability,dyslexia",False
36,1046-47,Elf,baobab,female,Inyara,Deepveil,Inyara Deepveil,18,vocational,8,no_known_disabilities,False
37,1046-47,Dwarf,sandstone,female,Zanna,Cartvale,Zanna Cartvale,19,vocational,3,no_known_disabilities,False
38,1046-47,Elf,holly,female,Elenna,Lorebloom,Elenna Lorebloom,18,academic,6,no_known_disabilities,True
39,1046-47,Elf,rowan,male,Thalen,Fernlace,Thalen Fernlace,18,academic,7,mental_health_disability,False
40,1046-47,Elf,ash,male,Corven,Pyrelatch,Corven Pyrelatch,18,academic,5,no_known_disabilities,True
41,1046-47,Dwarf,flint,male,Rorik,Cragburrow,Rorik Cragburrow,18,no_qualifications,2,"deaf_or_hearing_impaired,blind_or_visually_impaired",True
42,1046-47,Dwarf,alabaster,male,Jemin,Claymantle,Jemin Claymantle,18,vocational,4,mental_health_disability,False
43,1046-47,Elf,holly,neuter,Maerin,Scrollwarden,Maerin Scrollwarden,18,academic,6,requires_personal_care,False
44,1046-47,Dwarf,slate,male,Haskel,Boltline,Haskel Boltline,18,vocational,1,"dyslexia,deaf_or_hearing_impaired",True
45,1046-47,Elf,yew,female,Elindra,Everjudged,Elindra Everjudged,18,academic,5,no_known_disabilities,False
46,1046-47,Elf,holly,male,Ferion,Lorebloom,Ferion Lorebloom,18,academic,6,physical_disability,False
47,1046-47,Dwarf,flint,female,Erla,Chiselhand,Erla Chiselhand,18,no_qualifications,3,no_known_disabilities,False
48,1046-47,Elf,holly,female,Elenna,Whisperfolio,Elenna Whisperfolio,18,academic,6,no_known_disabilities,False
49,1046-47,Dwarf,bismuth,female,Vilya,Thoughtcoil,Vilya Thoughtcoil,18,academic,3,no_known_disabilities,True
50,1046-47,Dwarf,alabaster,female,Doma,Mosshearth,Doma Mosshearth,18,academic,3,adhd,False
51,1046-47,Dwarf,flint,female,Grisel,Shaftbinder,Grisel Shaftbinder,18,vocational,1,"physical_disability,other_neurodivergence",False
52,1046-47,Dwarf,bismuth,male,Ossel,Shinebinder,Ossel Shinebinder,18,academic,5,physical_disability,True
53,1046-47,Dwarf,obsidian,male,Drelan,Glassenclave,Drelan Glassenclave,18,no_qualifications,2,no_known_disabilities,True
54,1046-47,Elf,holly,female,Neria,Illumenbark,Neria Illumenbark,18,academic,7,no_known_disabilities,False
55,1046-47,Dwarf,bismuth,male,Dremel,Notegrip,Dremel Notegrip,18,academic,5,adhd,True
56,1046-47,Elf,yew,female,Faereth,Honorflame,Faereth Honorflame,18,academic,7,dyslexia,False
57,1046-47,Dwarf,flint,male,Rorik,Rubbletoe,Rorik Rubbletoe,18,vocational,4,physical_disability,False
58,1046-47,Dwarf,slate,female,Kilda,Steelmark,Kilda Steelmark,18,academic,8,no_known_disabilities,False
59,1046-47,Dwarf,alabaster,female,Calla,Steadmarble,Calla Steadmarble,18,vocational,1,physical_disability,False
60,1046-47,Dwarf,malachite,male,Meldrak,Brighthaft,Meldrak Brighthaft,18,vocational,2,no_known_disabilities,True
61,1046-47,Dwarf,alabaster,neuter,Orien,Blanchedge,Orien Blanchedge,18,vocational,3,no_known_disabilities,False
62,1046-47,Dwarf,flint,female,Ulfa,Pickface,Ulfa Pickface,18,vocational,3,communication_difficulties,False
63,1046-47,Dwarf,bismuth,male,Dremel,Ironglint,Dremel Ironglint,18,academic,6,no_known_disabilities,False
64,1046-47,Elf,rowan,female,Elenna,Bloomshiver,Elenna Bloomshiver,18,academic,8,no_known_disabilities,False
65,1046-47,Dwarf,slate,male,Fenn,Steelmark,Fenn Steelmark,18,academic,5,specific_learning_disability,True
66,1046-47,Dwarf,bismuth,male,Calo,Brightloop,Calo Brightloop,18,academic,3,no_known_disabilities,True
67,1046-47,Dwarf,flint,male,Bolrik,Coaljaw,Bolrik Coaljaw,18,vocational,2,"adhd,dyslexia,deaf_or_hearing_impaired",True
68,1046-47,Elf,holly,female,Meluin,Hearthpage,Meluin Hearthpage,18,academic,6,autistic_spectrum,False
69,1046-47,Dwarf,malachite,male,Tovik,Ironloop,Tovik Ironloop,18,vocational,6,specific_learning_disability,False
70,1046-47,Elf,yew,female,Silrien,Oathbarrow,Silrien Oathbarrow,18,academic,7,no_known_disabilities,False
71,1046-47,Dwarf,malachite,female,Fenra,Bronzeheel,Fenra Bronzeheel,18,academic,5,no_known_disabilities,False
72,1046-47,Dwarf,slate,male,Fenn,Planeforge,Fenn Planeforge,18,vocational,7,no_known_disabilities,False
73,1046-47,Dwarf,slate,male,Tolmar,Quarryscribe,Tolmar Quarryscribe,18,academic,6,no_known_disabilities,False
74,1046-47,Elf,ash,male,Corven,Cinderwake,Corven Cinderwake,18,vocational,5,"physical_disability,dyslexia",False
75,1046-47,Elf,palm,female,Thessa,Mangroveloom,Thessa Mangroveloom,23,vocational,2,mental_health_disability,True
76,1046-47,Elf,rowan,male,Neren,Gladeweaver,Neren Gladeweaver,18,academic,7,no_known_disabilities,False
77,1046-47,Elf,palm,female,Issira,Tidesong,Issira Tidesong,18,no_qualifications,4,no_known_disabilities,False
78,1046-47,Dwarf,alabaster,female,Serra,Hearthbind,Serra Hearthbind,18,no_qualifications,3,physical_disability,True
79,1046-47,Elf,yew,neuter,Envel,Thorncounsel,Envel Thorncounsel,18,academic,7,no_known_disabilities,False
80,1046-47,Dwarf,flint,female,Ulfa,Pickshard,Ulfa Pickshard,18,vocational,4,no_known_disabilities,False
81,1046-47,Dwarf,malachite,male,Marrik,Stonebrow,Marrik Stonebrow,18,vocational,5,no_known_disabilities,True
82,1046-47,Elf,rowan,female,Liora,Windpoem,Liora Windpoem,18,no_qualifications,6,no_known_disabilities,False
83,1046-47,Dwarf,alabaster,male,Edrik,Gracestone,Edrik Gracestone,18,vocational,8,deaf_or_hearing_impaired,False
84,1046-47,Elf,holly,male,Elarion,Illumenbark,Elarion Illumenbark,18,academic,7,no_known_disabilities,False
85,1046-47,Dwarf,bismuth,male,Dremel,Boltmaze,Dremel Boltmaze,18,academic,6,other_neurodivergence,False
86,1046-47,Dwarf,flint,male,Jorrik,Coaljaw,Jorrik Coaljaw,18,vocational,7,no_known_disabilities,False
87,1046-47,Dwarf,flint,male,Bruk,Coaljaw,Bruk Coaljaw,18,no_qualifications,2,adhd,True
88,1046-47,Elf,baobab,male,Taelon,Deepveil,Taelon Deepveil,18,academic,8,other_neurodivergence,False
89,1046-47,Elf,holly,male,Orien,Lorebloom,Orien Lorebloom,18,academic,6,no_known_disabilities,False
90,1046-47,Dwarf,malachite,male,Marrik,Rivetbrow,Marrik Rivetbrow,18,academic,4,"specific_learning_disability,requires_personal_care",False
91,1046-47,Elf,rowan,male,Neren,Threadgrove,Neren Threadgrove,18,academic,4,no_known_disabilities,False
92,1046-47,Dwarf,alabaster,female,Solva,Homehewer,Solva Homehewer,18,vocational,4,deaf_or_hearing_impaired,True
93,1046-47,Dwarf,malachite,female,Brina,Rivetbrow,Brina Rivetbrow,18,academic,6,deaf_or_hearing_impaired,False
94,1046-47,Elf,holly,male,Emroth,Inkweaver,Emroth Inkweaver,18,academic,5,physical_disability,False
95,1046-47,Dwarf,flint,female,Erla,Rockcleave,Erla Rockcleave,18,no_qualifications,2,deaf_or_hearing_impaired,True
96,1046-47,Dwarf,slate,female,Thernis,Steelmark,Thernis Steelmark,18,academic,3,no_known_disabilities,False
97,1046-47,Dwarf,slate,female,Mersa,Boltline,Mersa Boltline,18,academic,4,physical_disability,True
98,1046-47,Dwarf,granite,female,Kelda,Hearthstone,Kelda Hearthstone,18,academic,3,no_known_disabilities,False
99,1046-47,Dwarf,flint,male,Storn,Chiselhand,Storn Chiselhand,18,vocational,2,no_known_disabilities,False
100,1046-47,Elf,palm,male,Nahlor,Breakwave,Nahlor Breakwave,18,academic,3,"autistic_spectrum,other_neurodivergence,deaf_or_hearing_impaired",True
101,1046-47,Dwarf,slate,female,Ilka,Ruleleaf,Ilka Ruleleaf,18,academic,8,no_known_disabilities,False
102,1046-47,Elf,holly,female,Neria,Inkweaver,Neria Inkweaver,18,academic,5,no_known_disabilities,False
103,1046-47,Elf,rowan,male,Viren,Starpetal,Viren Starpetal,18,academic,8,no_known_disabilities,True
104,1046-47,Dwarf,slate,female,Vilda,Sealcaliper,Vilda Sealcaliper,18,vocational,4,deaf_or_hearing_impaired,True
105,1046-47,Dwarf,obsidian,neuter,Aurel,Palechant,Aurel Palechant,19,academic,8,no_known_disabilities,False
106,1046-47,Elf,rowan,male,Olyen,Starpetal,Olyen Starpetal,18,academic,4,autistic_spectrum,False
107,1046-47,Dwarf,malachite,male,Meldrak,Ironloop,Meldrak Ironloop,18,vocational,4,adhd,False
108,1046-47,Elf,ash,male,Corven,Ashmantle,Corven Ashmantle,18,vocational,1,no_known_disabilities,False
109,1046-47,Dwarf,sandstone,male,Garril,Hillbanner,Garril Hillbanner,18,no_qualifications,3,no_known_disabilities,True
110,1046-47,Elf,yew,male,Eredor,Thorncounsel,Eredor Thorncounsel,18,academic,4,no_known_disabilities,False
111,1046-47,Dwarf,sandstone,female,Niska,Trestleborn,Niska Trestleborn,18,vocational,5,no_known_disabilities,False
112,1046-47,Dwarf,slate,male,Droven,Rulestone,Droven Rulestone,18,academic,6,mental_health_disability,True
113,1046-47,Elf,yew,neuter,Saenil,Everjudged,Saenil Everjudged,18,academic,7,no_known_disabilities,False
114,1046-47,Dwarf,slate,female,Idria,Steelmark,Idria Steelmark,18,academic,6,wheelchair_user,False
115,1046-47,Elf,yew,female,Ithira,Vowroot,Ithira Vowroot,18,vocational,8,no_known_disabilities,False
116,1046-47,Dwarf,malachite,female,Urda,Stonejoint,Urda Stonejoint,18,academic,5,autistic_spectrum,False
117,1046-47,Dwarf,flint,female,Dagna,Chiselhand,Dagna Chiselhand,18,no_qualifications,2,no_known_disabilities,True
118,1046-47,Dwarf,flint,female,Dagna,Coaljaw,Dagna Coaljaw,18,no_qualifications,2,"physical_disability,mental_health_disability,adhd,dyslexia,deaf_or_hearing_impaired",True
119,1046-47,Dwarf,alabaster,female,Elsha,Claymantle,Elsha Claymantle,18,no_qualifications,4,no_known_disabilities,True
120,1046-47,Elf,yew,male,Eredor,Deeppledge,Eredor Deeppledge,18,academic,8,no_known_disabilities,False
121,1046-47,Dwarf,bismuth,neuter,Sariol,Scribemark,Sariol Scribemark,18,academic,2,no_known_disabilities,False
122,1046-47,Dwarf,flint,male,Bruk,Chiselhand,Bruk Chiselhand,18,academic,1,no_known_disabilities,True
123,1046-47,Elf,ash,female,Saelith,Cinderwake,Saelith Cinderwake,18,vocational,6,no_known_disabilities,False
124,1046-47,Dwarf,sandstone,female,Zanna,Pathstitch,Zanna Pathstitch,18,vocational,7,no_known_disabilities,False
125,1046-47,Dwarf,malachite,male,Dorek,Bronzeband,Dorek Bronzeband,18,vocational,2,no_known_disabilities,True
126,1046-47,Dwarf,flint,female,Kelza,Pickshard,Kelza Pickshard,18,vocational,2,no_known_disabilities,True
127,1046-47,Dwarf,slate,female,Tilna,Ruleleaf,Tilna Ruleleaf,18,academic,3,no_known_disabilities,True
128,1046-47,Dwarf,malachite,male,Bolvik,Shearstone,Bolvik Shearstone,18,academic,3,specific_learning_disability,True
129,1046-47,Elf,baobab,male,Olyrion,Deepveil,Olyrion Deepveil,18,academic,5,no_known_disabilities,False
130,1046-47,Elf,holly,male,Corlen,Boughchant,Corlen Boughchant,18,academic,7,no_known_disabilities,False
131,1046-47,Elf,yew,male,Thendrel,Sealbough,Thendrel Sealbough,18,academic,5,no_known_disabilities,False
132,1046-47,Elf,yew,female,Saelith,Deeppledge,Saelith Deeppledge,18,academic,7,no_known_disabilities,False
133,1046-47,Elf,yew,female,Marenel,Everjudged,Marenel Everjudged,18,academic,8,no_known_disabilities,False
134,1046-47,Elf,holly,female,Riella,Greenquill,Riella Greenquill,18,vocational,6,no_known_disabilities,True
135,1046-47,Dwarf,flint,female,Mira,Greymine,Mira Greymine,18,vocational,3,other_neurodivergence,False
136,1046-47,Elf,holly,female,Lirien,Boughchant,Lirien Boughchant,24,vocational,5,no_known_disabilities,True
137,1046-47,Elf,palm,neuter,Solen,Lamentbloom,Solen Lamentbloom,22,vocational,7,no_known_disabilities,False
138,1046-47,Dwarf,granite,neuter,Varnim,Bouldershield,Varnim Bouldershield,18,academic,8,no_known_disabilities,False
139,1046-47,Dwarf,sandstone,neuter,Remi,Cartvale,Remi Cartvale,18,vocational,4,"mental_health_disability,adhd",True
140,1046-47,Elf,baobab,female,Serenya,Deepveil,Serenya Deepveil,18,academic,8,mental_health_disability,False
141,1046-47,Elf,holly,female,Vanya,Elmscriptor,Vanya Elmscriptor,18,academic,5,autistic_spectrum,False
142,1046-47,Dwarf,alabaster,female,Illa,Homehewer,Illa Homehewer,18,academic,1,physical_disability,False
143,1046-47,Dwarf,sandstone,male,Halden,Cartvale,Halden Cartvale,18,academic,5,no_known_disabilities,False
144,1046-47,Dwarf,granite,female,Tilda,Cragshield,Tilda Cragshield,18,academic,8,no_known_disabilities,False
145,1046-47,Dwarf,slate,male,Morten,Sealnotch,Morten Sealnotch,18,academic,5,no_known_disabilities,False
146,1046-47,Dwarf,alabaster,neuter,Lior,Plainbrow,Lior Plainbrow,18,vocational,2,physical_disability,True
147,1046-47,Dwarf,slate,female,Tilna,Steelmark,Tilna Steelmark,18,academic,4,no_known_disabilities,False
148,1046-47,Elf,ash,neuter,Thorne,Flameborn,Thorne Flameborn,18,no_qualifications,3,no_known_disabilities,True
149,1046-47,Elf,rowan,female,Veira,Nightfern,Veira Nightfern,18,academic,2,no_known_disabilities,False
150,1046-47,Dwarf,flint,female,Tanni,Tunnelbrace,Tanni Tunnelbrace,18,vocational,1,deaf_or_hearing_impaired,True
151,1046-47,Elf,rowan,female,Mialin,Starpetal,Mialin Starpetal,18,academic,1,no_known_disabilities,True
152,1046-47,Dwarf,alabaster,male,Rivin,Claymantle,Rivin Claymantle,18,no_qualifications,3,no_known_disabilities,True
153,1046-47,Dwarf,slate,female,Vilda,Edgefitter,Vilda Edgefitter,18,vocational,5,no_known_disabilities,False
154,1046-47,Dwarf,alabaster,neuter,Lomel,Lowbrace,Lomel Lowbrace,18,no_qualifications,1,no_known_disabilities,True
155,1046-47,Dwarf,granite,female,Tilda,Gravemark,Tilda Gravemark,18,academic,6,no_known_disabilities,False
156,1046-47,Elf,yew,male,Valreth,Yewmantle,Valreth Yewmantle,18,academic,6,no_known_disabilities,False
157,1046-47,Dwarf,slate,male,Brondel,Etchbrace,Brondel Etchbrace,18,academic,8,no_known_disabilities,False
158,1046-47,Dwarf,bismuth,female,Nessa,Ironglint,Nessa Ironglint,21,academic,7,no_known_disabilities,False
159,1046-47,Dwarf,flint,female,Tanni,Coaljaw,Tanni Coaljaw,18,no_qualifications,2,"deaf_or_hearing_impaired,communication_difficulties",True
160,1046-47,Dwarf,flint,female,Tilda,Chiselhand,Tilda Chiselhand,18,academic,3,no_known_disabilities,True
161,1046-47,Dwarf,slate,male,Varnel,Threadset,Varnel Threadset,18,academic,1,adhd,False
162,1046-47,Dwarf,sandstone,female,Velna,Rivermason,Velna Rivermason,18,academic,4,no_known_disabilities,False
163,1046-47,Dwarf,alabaster,neuter,Braniel,Hollowpick,Braniel Hollowpick,18,academic,1,no_known_disabilities,False
164,1046-47,Dwarf,malachite,male,Ralik,Steelshaper,Ralik Steelshaper,18,academic,2,no_known_disabilities,False
165,1046-47,Elf,yew,male,Thendrel,Linejudge,Thendrel Linejudge,18,academic,4,no_known_disabilities,True
166,1046-47,Elf,ash,male,Riven,Cinderwake,Riven Cinderwake,18,academic,3,no_known_disabilities,True
167,1046-47,Dwarf,slate,neuter,Deln,Edgefitter,Deln Edgefitter,20,academic,7,dyslexia,False
168,1046-47,Dwarf,granite,female,Gilda,Steelforge,Gilda Steelforge,18,academic,8,no_known_disabilities,False
169,1046-47,Dwarf,bismuth,neuter,Karrel,Patterncatcher,Karrel Patterncatcher,18,academic,1,no_known_disabilities,True
170,1046-47,Dwarf,bismuth,neuter,Enver,Gemlace,Enver Gemlace,18,academic,6,no_known_disabilities,False
171,1046-47,Elf,yew,male,Therenil,Everjudged,Therenil Everjudged,18,academic,4,no_known_disabilities,True
172,1046-47,Dwarf,obsidian,female,Cassira,Blackbloom,Cassira Blackbloom,18,academic,8,no_known_disabilities,False
173,1046-47,Elf,yew,male,Thendrel,Pactweaver,Thendrel Pactweaver,18,vocational,6,no_known_disabilities,False
174,1046-47,Dwarf,sandstone,female,Selka,Sandspire,Selka Sandspire,18,academic,8,blind_or_visually_impaired,True
175,1046-47,Dwarf,flint,male,Storn,Greymine,Storn Greymine,18,vocational,2,blind_or_visually_impaired,True
176,1046-47,Dwarf,alabaster,male,Halem,Chalkhaven,Halem Chalkhaven,18,vocational,6,no_known_disabilities,False
177,1046-47,Dwarf,flint,male,Brevik,Pitgrub,Brevik Pitgrub,18,vocational,1,adhd,False
178,1046-47,Elf,baobab,female,Inyara,Highbark,Inyara Highbark,18,vocational,7,no_known_disabilities,False
179,1046-47,Dwarf,alabaster,female,Solva,Bloomjoint,Solva Bloomjoint,18,no_qualifications,1,no_known_disabilities,False
180,1046-47,Dwarf,flint,female,Enna,Gravelhack,Enna Gravelhack,18,no_qualifications,3,no_known_disabilities,True
181,1046-47,Dwarf,flint,female,Grinna,Deepgrit,Grinna Deepgrit,18,no_qualifications,1,physical_disability,False
182,1046-47,Elf,holly,female,Thirel,Emberhymn,Thirel Emberhymn,18,academic,4,no_known_disabilities,True
183,1046-47,Elf,yew,male,Valreth,Remembrace,Valreth Remembrace,18,academic,6,no_known_disabilities,True
184,1046-47,Dwarf,slate,male,Haskel,Truelock,Haskel Truelock,18,academic,3,no_known_disabilities,True
185,1046-47,Dwarf,malachite,male,Frunn,Shardcloak,Frunn Shardcloak,18,academic,6,no_known_disabilities,False
186,1046-47,Dwarf,sandstone,male,Jostin,Dealroot,Jostin Dealroot,18,vocational,1,blind_or_visually_impaired,False
187,1046-47,Dwarf,sandstone,female,Freya,Loamthread,Freya Loamthread,18,vocational,4,mental_health_disability,False
188,1046-47,Dwarf,bismuth,male,Marn,Colorpulse,Marn Colorpulse,18,academic,8,no_known_disabilities,False
189,1046-47,Elf,rowan,male,Thairon,Nightfern,Thairon Nightfern,18,academic,7,mental_health_disability,False
190,1046-47,Dwarf,malachite,neuter,Lomni,Orevein,Lomni Orevein,18,vocational,5,deaf_or_hearing_impaired,False
191,1046-47,Dwarf,malachite,male,Bolvik,Brighthaft,Bolvik Brighthaft,18,academic,7,physical_disability,False
192,1046-47,Dwarf,flint,male,Thorkel,Ironboot,Thorkel Ironboot,18,academic,2,"adhd,requires_personal_care",False
193,1046-47,Dwarf,alabaster,male,Anric,Chalkhaven,Anric Chalkhaven,18,vocational,2,no_known_disabilities,False
194,1046-47,Dwarf,bismuth,male,Calo,Brightloop,Calo Brightloop,18,academic,7,mental_health_disability,False
195,1046-47,Elf,rowan,female,Liora,Starpetal,Liora Starpetal,18,academic,2,no_known_disabilities,True
196,1046-47,Dwarf,bismuth,female,Ivelle,Brillstripe,Ivelle Brillstripe,18,vocational,6,dyslexia,False
197,1046-47,Dwarf,bismuth,neuter,Oryn,Prismweft,Oryn Prismweft,24,academic,4,no_known_disabilities,False
198,1046-47,Dwarf,granite,male,Rodrik,Pikehold,Rodrik Pikehold,18,academic,6,no_known_disabilities,False
199,1046-47,Dwarf,sandstone,male,Davi,Beaconbrace,Davi Beaconbrace,23,academic,2,no_known_disabilities,True
200,1046-47,Dwarf,flint,female,Tanni,Chiselhand,Tanni Chiselhand,18,no_qualifications,2,no_known_disabilities,True
201,1046-47,Dwarf,granite,female,Tilda,Deepmarrow,Tilda Deepmarrow,18,academic,2,autistic_spectrum,True
202,1046-47,Dwarf,flint,female,Tanni,Dustmantle,Tanni Dustmantle,18,vocational,1,no_known_disabilities,True
203,1046-47,Dwarf,alabaster,neuter,Braniel,Gracestone,Braniel Gracestone,18,vocational,1,no_known_disabilities,False
204,1046-47,Dwarf,alabaster,male,Darel,Gracestone,Darel Gracestone,18,no_qualifications,1,physical_disability,True
205,1046-47,Elf,baobab,female,Elshira,Highbark,Elshira Highbark,18,academic,7,no_known_disabilities,False
206,1046-47,Elf,yew,female,Saelith,Vowroot,Saelith Vowroot,18,academic,7,no_known_disabilities,False
207,1046-47,Dwarf,sandstone,female,Ilyra,Loambinder,Ilyra Loambinder,18,academic,4,no_known_disabilities,True
208,1046-47,Elf,yew,male,Ilrian,Pactweaver,Ilrian Pactweaver,18,no_qualifications,5,communication_difficulties,True
209,1046-47,Dwarf,alabaster,neuter,Orien,Chalkhaven,Orien Chalkhaven,18,no_qualifications,3,no_known_disabilities,False
210,1046-47,Dwarf,alabaster,male,Kallin,Claymantle,Kallin Claymantle,18,vocational,1,no_known_disabilities,True
211,1046-47,Dwarf,bismuth,male,Calo,Thoughtcoil,Calo Thoughtcoil,18,vocational,2,no_known_disabilities,True
212,1046-47,Elf,rowan,male,Viren,Windpoem,Viren Windpoem,18,vocational,7,dyslexia,False
213,1046-47,Elf,baobab,neuter,Lumael,Silkenroot,Lumael Silkenroot,18,academic,8,adhd,False
214,1046-47,Elf,holly,male,Halion,Glyphpetal,Halion Glyphpetal,18,vocational,8,no_known_disabilities,False
215,1046-47,Elf,yew,neuter,Envel,Quietbark,Envel Quietbark,18,vocational,7,no_known_disabilities,False
216,1046-47,Dwarf,alabaster,male,Darel,Quietbluff,Darel Quietbluff,18,academic,2,no_known_disabilities,True
217,1046-47,Dwarf,malachite,neuter,Kellin,Forgehook,Kellin Forgehook,18,academic,8,physical_disability,False
218,1046-47,Elf,holly,male,Emroth,Hearthpage,Emroth Hearthpage,18,academic,3,no_known_disabilities,True
219,1046-47,Elf,baobab,neuter,Phirael,Goldmantle,Phirael Goldmantle,18,academic,7,no_known_disabilities,False
220,1046-47,Elf,rowan,male,Jerren,Gladeweaver,Jerren Gladeweaver,25,vocational,7,no_known_disabilities,False
221,1046-47,Elf,palm,neuter,Solen,Reefgrace,Solen Reefgrace,18,no_qualifications,5,adhd,True
222,1046-47,Elf,rowan,female,Mialin,Starpetal,Mialin Starpetal,18,vocational,5,no_known_disabilities,False
223,1046-47,Dwarf,slate,female,Vessa,Truelock,Vessa Truelock,18,vocational,7,no_known_disabilities,True
224,1046-47,Dwarf,sandstone,female,Freya,Hillbanner,Freya Hillbanner,18,academic,4,no_known_disabilities,False
225,1046-47,Elf,holly,male,Orien,Scrollwarden,Orien Scrollwarden,18,academic,8,no_known_disabilities,False
226,1046-47,Dwarf,slate,male,Droven,Measurine,Droven Measurine,18,academic,5,"physical_disability,dyslexia,deaf_or_hearing_impaired",False
227,1046-47,Dwarf,alabaster,male,Halem,Safecradle,Halem Safecradle,18,no_qualifications,1,no_known_disabilities,True
228,1046-47,Dwarf,malachite,male,Ulgar,Steelshaper,Ulgar Steelshaper,18,academic,4,no_known_disabilities,True
229,1046-47,Elf,holly,female,Vanya,Memorybraid,Vanya Memorybraid,18,academic,6,no_known_disabilities,True
230,1046-47,Dwarf,alabaster,female,Elsha,Sheltergrim,Elsha Sheltergrim,18,no_qualifications,1,blind_or_visually_impaired,False
231,1046-47,Dwarf,sandstone,female,Mara,Clayreach,Mara Clayreach,18,academic,4,adhd,False
232,1046-47,Elf,palm,female,Liora,Lamentbloom,Liora Lamentbloom,18,vocational,3,no_known_disabilities,True
